parent_product_id,parent_nama_produk,parent_url_produk,detail_no,bagian_detail,detail_text,detail_lines_json,detail_bullets_json,sumber_detail
103726663896,Kicau Mania Kunci Gantung Kucing Lucu dengan Desain Kreatif dan Warna Cerah untuk Penggemar Kucing dan Aksesori Unik,https://www.tokopedia.com/niuvastudio/kicau-mania-kunci-gantung-kucing-lucu-dengan-desain-kreatif-dan-warna-cerah-untuk-penggemar-kucing-dan-aksesori-unik-1737002078292313866,1,DESKRIPSI UMUM,"NIUVA STUDIO – Jasa 3D print custom
Niuva Inovasi Utama – Niuva Studio merupakan mitra strategis inovasi dan pengembangan produk. Kami menghadirkan solusi kreatif berbasis riset dari konsultasi untuk menciptakan nilai tambah dan keunggulan yang nyata. Salah satu bentuknya adalah produk Merchandise lucu berbasis 3D print!","[""NIUVA STUDIO – Jasa 3D print custom"", ""Niuva Inovasi Utama – Niuva Studio merupakan mitra strategis inovasi dan pengembangan produk. Kami menghadirkan solusi kreatif berbasis riset dari konsultasi untuk menciptakan nilai tambah dan keunggulan yang nyata. Salah satu bentuknya adalah produk Merchandise lucu berbasis 3D print!""]",[],apollo_cache
103726663896,Kicau Mania Kunci Gantung Kucing Lucu dengan Desain Kreatif dan Warna Cerah untuk Penggemar Kucing dan Aksesori Unik,https://www.tokopedia.com/niuvastudio/kicau-mania-kunci-gantung-kucing-lucu-dengan-desain-kreatif-dan-warna-cerah-untuk-penggemar-kucing-dan-aksesori-unik-1737002078292313866,2,DETAIL PRODUK,"Material: PLA, Multicolor Print
Size: 8 cm","[""Material: PLA, Multicolor Print"", ""Size: 8 cm""]",[],apollo_cache
103726663896,Kicau Mania Kunci Gantung Kucing Lucu dengan Desain Kreatif dan Warna Cerah untuk Penggemar Kucing dan Aksesori Unik,https://www.tokopedia.com/niuvastudio/kicau-mania-kunci-gantung-kucing-lucu-dengan-desain-kreatif-dan-warna-cerah-untuk-penggemar-kucing-dan-aksesori-unik-1737002078292313866,3,WAKTU PRODUKSI,"Estimasi penyelesaian mengikuti durasi printing dan kondisi antrian produksi.
~2–3 hari","[""Estimasi penyelesaian mengikuti durasi printing dan kondisi antrian produksi."", ""~2–3 hari""]",[],apollo_cache
103726663896,Kicau Mania Kunci Gantung Kucing Lucu dengan Desain Kreatif dan Warna Cerah untuk Penggemar Kucing dan Aksesori Unik,https://www.tokopedia.com/niuvastudio/kicau-mania-kunci-gantung-kucing-lucu-dengan-desain-kreatif-dan-warna-cerah-untuk-penggemar-kucing-dan-aksesori-unik-1737002078292313866,4,TERMS & CONDITION,- Refund tidak akan diterima apabila tidak ada video unboxing,"[""- Refund tidak akan diterima apabila tidak ada video unboxing""]","[""Refund tidak akan diterima apabila tidak ada video unboxing""]",apollo_cache
103726663896,Kicau Mania Kunci Gantung Kucing Lucu dengan Desain Kreatif dan Warna Cerah untuk Penggemar Kucing dan Aksesori Unik,https://www.tokopedia.com/niuvastudio/kicau-mania-kunci-gantung-kucing-lucu-dengan-desain-kreatif-dan-warna-cerah-untuk-penggemar-kucing-dan-aksesori-unik-1737002078292313866,5,NOTE,"- Ketika menerima paket, mohon rekam proses saat membuka paket","[""- Ketika menerima paket, mohon rekam proses saat membuka paket""]","[""Ketika menerima paket, mohon rekam proses saat membuka paket""]",apollo_cache
103726333343,Wisuda Custom 3D Print - Patung Graduasi 3D Personalisasi untuk Souvenir Khusus,https://www.tokopedia.com/niuvastudio/wisuda-custom-3d-print-patung-graduasi-3d-personalisasi-untuk-souvenir-khusus-1737001056781305610-1737001528663770890,1,DESKRIPSI UMUM,"NIUVA STUDIO – Jasa 3D print custom
Niuva Inovasi Utama – Niuva Studio merupakan mitra strategis inovasi dan pengembangan produk. Kami menghadirkan solusi kreatif berbasis riset dari konsultasi untuk menciptakan nilai tambah dan keunggulan yang nyata. Salah satu bentuknya adalah produk berbasis 3D print yang kami tawarkan untuk mengabadikan Special Moments mu!","[""NIUVA STUDIO – Jasa 3D print custom"", ""Niuva Inovasi Utama – Niuva Studio merupakan mitra strategis inovasi dan pengembangan produk. Kami menghadirkan solusi kreatif berbasis riset dari konsultasi untuk menciptakan nilai tambah dan keunggulan yang nyata. Salah satu bentuknya adalah produk berbasis 3D print yang kami tawarkan untuk mengabadikan Special Moments mu!""]",[],apollo_cache
103726333343,Wisuda Custom 3D Print - Patung Graduasi 3D Personalisasi untuk Souvenir Khusus,https://www.tokopedia.com/niuvastudio/wisuda-custom-3d-print-patung-graduasi-3d-personalisasi-untuk-souvenir-khusus-1737001056781305610-1737001528663770890,2,DETAIL PRODUK,"Variasi Figur Full-Color (Paint)
Material: PLA, Single Color Print, Hand-Painted with Acrylic Paint and Clear Spray Paint (Matte/Glossy) Finish
Size: 15 cm, 12 cm
Variasi Figur Single Color
Material: PLA, Single Color Print
Size: 15 cm, 12 cm
Variasi Lego Full-Color (Paint)
Material: PLA, Single Color Print, Hand-Painted with Acrylic Paint and Clear Spray Paint (Matte/Glossy) Finish
Size: 12 cm, 8 cm
Variasi Lego Full-Color (MultiColor Print)
Material: PLA, Multi-Color Print, Hand-Painted with Acrylic Paint and Clear Spray Paint (Matte/Glossy) Finish
Size: 12 cm, 8 cm
Variasi Lego Single Color
Material: PLA, Single Color Print
Size: 12 cm, 8 cm","[""Variasi Figur Full-Color (Paint)"", ""Material: PLA, Single Color Print, Hand-Painted with Acrylic Paint and Clear Spray Paint (Matte/Glossy) Finish"", ""Size: 15 cm, 12 cm"", ""Variasi Figur Single Color"", ""Material: PLA, Single Color Print"", ""Size: 15 cm, 12 cm"", ""Variasi Lego Full-Color (Paint)"", ""Material: PLA, Single Color Print, Hand-Painted with Acrylic Paint and Clear Spray Paint (Matte/Glossy) Finish"", ""Size: 12 cm, 8 cm"", ""Variasi Lego Full-Color (MultiColor Print)"", ""Material: PLA, Multi-Color Print, Hand-Painted with Acrylic Paint and Clear Spray Paint (Matte/Glossy) Finish"", ""Size: 12 cm, 8 cm"", ""Variasi Lego Single Color"", ""Material: PLA, Single Color Print"", ""Size: 12 cm, 8 cm""]",[],apollo_cache
103726333343,Wisuda Custom 3D Print - Patung Graduasi 3D Personalisasi untuk Souvenir Khusus,https://www.tokopedia.com/niuvastudio/wisuda-custom-3d-print-patung-graduasi-3d-personalisasi-untuk-souvenir-khusus-1737001056781305610-1737001528663770890,3,WAKTU PRODUKSI,"Estimasi penyelesaian mengikuti durasi printing, custom paint job, dan kondisi antrian produksi.
~6–7 hari","[""Estimasi penyelesaian mengikuti durasi printing, custom paint job, dan kondisi antrian produksi."", ""~6–7 hari""]",[],apollo_cache
103726333343,Wisuda Custom 3D Print - Patung Graduasi 3D Personalisasi untuk Souvenir Khusus,https://www.tokopedia.com/niuvastudio/wisuda-custom-3d-print-patung-graduasi-3d-personalisasi-untuk-souvenir-khusus-1737001056781305610-1737001528663770890,4,TERMS & CONDITION,"- Desain yang sudah fix dan sudah memasuki tahap cetak tidak bisa revisi lagi
- Finishing menggunakan hand painting
- Refund tidak akan diterima apabila tidak ada video unboxing","[""- Desain yang sudah fix dan sudah memasuki tahap cetak tidak bisa revisi lagi"", ""- Finishing menggunakan hand painting"", ""- Refund tidak akan diterima apabila tidak ada video unboxing""]","[""Desain yang sudah fix dan sudah memasuki tahap cetak tidak bisa revisi lagi"", ""Finishing menggunakan hand painting"", ""Refund tidak akan diterima apabila tidak ada video unboxing""]",apollo_cache
103726333343,Wisuda Custom 3D Print - Patung Graduasi 3D Personalisasi untuk Souvenir Khusus,https://www.tokopedia.com/niuvastudio/wisuda-custom-3d-print-patung-graduasi-3d-personalisasi-untuk-souvenir-khusus-1737001056781305610-1737001528663770890,5,NOTE,"- Pastikan foto referensi dapat di buka dan tidak error (PNG, JPEG)
- Maksimal revisi adalah sebelum masuk masa cetak
- Warna dilakukan secara manual menggunakan cat akrilik
- Ketika menerima paket, mohon rekam proses saat membuka paket","[""- Pastikan foto referensi dapat di buka dan tidak error (PNG, JPEG)"", ""- Maksimal revisi adalah sebelum masuk masa cetak"", ""- Warna dilakukan secara manual menggunakan cat akrilik"", ""- Ketika menerima paket, mohon rekam proses saat membuka paket""]","[""Pastikan foto referensi dapat di buka dan tidak error (PNG, JPEG)"", ""Maksimal revisi adalah sebelum masuk masa cetak"", ""Warna dilakukan secara manual menggunakan cat akrilik"", ""Ketika menerima paket, mohon rekam proses saat membuka paket""]",apollo_cache
